ELP_ItemID,Word,POS,Nmorph,PRS_signature,MorphoLexSegm,ROOT1_PFMF,ROOT1_FamSize,ROOT1_Freq_HAL,ROOT2_PFMF,ROOT2_FamSize,ROOT2_Freq_HAL,SUFF1_PFMF,SUFF1_FamSize,SUFF1_Freq_HAL,SUFF1_length,SUFF1_P,SUFF1_P*
51401,protagonist,NN,3,"0,2,1",{(proto)(agon)>ist>},"28,57142857",8,11805,"33,33333333",4,4135,"15,40130152",462,382916,3,"6,27E-05","0,003707708945"
51433,protoplasmic,JJ,3,"0,2,1",{(proto)(plasm)}>ic>,"71,42857143",8,11805,20,6,600,"56,66337611",1014,1472797,2,"2,78E-05","0,006334002781"
51528,psychoactive,JJ,3,"0,2,1",(psycho){(act)}>ive>,"30,55555556",37,47211,"48,27586207",59,716577,"29,18825561",580,1037354,3,"1,74E-05","0,002780781709"
51533,psychologists,NN,3,"0,2,1",{(psycho)(log)>ist>},"11,11111111",37,47211,"7,009345794",215,380513,"5,422993492",462,382916,3,"6,27E-05","0,003707708945"
51535,psychopathic,JJ,3,"0,2,1",{(psycho)(patho)}>ic>,"44,44444444",37,47211,"43,75",49,81153,"43,53405726",1014,1472797,2,"2,78E-05","0,006334002781"
51536,psychokinesis,NN,3,"0,2,1",(psycho){(kine)>sis>},"69,44444444",37,47211,"33,33333333",7,1885,"81,57894737",39,63372,3,"1,58E-05","0,0001544878727"
51539,psychologist,NN,3,"0,2,1",{(psycho)(log)>ist>},"11,11111111",37,47211,"7,009345794",215,380513,"5,422993492",462,382916,3,"6,27E-05","0,003707708945"
51540,psychology,NN,3,"0,2,1",{(psycho)(log)>y>},"2,777777778",37,47211,"2,336448598",215,380513,"2,293762575",2486,3870233,1,"4,99E-05","0,02981615943"
51543,psychosomatic,JJ,3,"0,2,1",{(psycho)(soma)>ic>},"38,88888889",37,47211,50,3,626,"38,49950642",1014,1472797,2,"2,78E-05","0,006334002781"
51544,psychotherapeutic,JJ,3,"0,2,1",(psycho){(therap)>ic>},"63,88888889",37,47211,"71,42857143",15,17922,"62,48766041",1014,1472797,2,"2,78E-05","0,006334002781"
51545,psychotherapist,NN,3,"0,2,1",(psycho){(therap)>ist>},"41,66666667",37,47211,"42,85714286",15,17922,"40,78091106",462,382916,3,"6,27E-05","0,003707708945"
51546,psychotherapists,NN,3,"0,2,1",(psycho){(therap)>ist>},"41,66666667",37,47211,"42,85714286",15,17922,"40,78091106",462,382916,3,"6,27E-05","0,003707708945"
51547,psychotherapy,NN,3,"0,2,1",(psycho){(therap)>y>},25,37,47211,"21,42857143",15,17922,"12,99798793",2486,3870233,1,"4,99E-05","0,02981615943"
51736,preternatural,JJ,3,"0,2,1",(preter){(nature)>al>},0,2,98,"66,66666667",22,119108,"63,63636364",1431,4704731,2,"9,14E-06","0,006642978526"
52002,pornographer,NN,3,"0,2,1",{(porn)(graph)>er>},75,5,13106,"32,17391304",116,198105,"30,66432028",2274,4569119,2,"3,55E-05","0,02502703538"
52003,pornographic,JJ,3,"0,2,1",{(porn)(graph)>ic>},50,5,13106,"19,13043478",116,198105,"16,3869694",1014,1472797,2,"2,78E-05","0,006334002781"
52004,pornography,NN,3,"0,2,1",{(porn)(graph)>y>},25,5,13106,"8,695652174",116,198105,"3,903420523",2486,3870233,1,"4,99E-05","0,02981615943"
