ELP_ItemID,Word,POS,Nmorph,PRS_signature,MorphoLexSegm,ROOT1_PFMF,ROOT1_FamSize,ROOT1_Freq_HAL,ROOT2_PFMF,ROOT2_FamSize,ROOT2_Freq_HAL
28156,eiderdown,NN,2,"0,2,0",{(eider)}{(down)},100,2,42,"88,88888889",28,315280
28157,eiderdowns,NN,2,"0,2,0",{(eider)}{(down)},100,2,42,"88,88888889",28,315280
28164,eightpences,NN,2,"0,2,0",{(eight)(pence)},100,8,24176,"88,88888889",10,600
28205,elderberries,NN,2,"0,2,0",{(elder)}(berry),"66,66666667",4,14806,"53,33333333",16,8926
28222,electrocutes,VB,2,"0,2,0",{(electro)(cute)},"23,52941176",18,5624,"28,57142857",8,12341
28225,electrocuted,VB|JJ,2,"0,2,0",{(electro)(cute)},"23,52941176",18,5624,"28,57142857",8,12341
28226,electrocuting,VB|NN|JJ,2,"0,2,0",{(electro)(cute)},"23,52941176",18,5624,"28,57142857",8,12341
28233,electromagnets,NN,2,"0,2,0",(electro){(magnet)},"58,82352941",18,5624,"53,84615385",14,20729
28236,ELECTROPHORESIS,NN,2,"0,2,0",{(electro)(phoresis)},"29,41176471",18,5624,0,2,228
28238,electroplated,JJ,2,"0,2,0",(electro){(plate)},"64,70588235",18,5624,"27,27272727",12,17557
28239,electroplates,NN,2,"0,2,0",(electro){(plate)},"64,70588235",18,5624,"27,27272727",12,17557
28243,electroplating,NN|VB,2,"0,2,0",(electro){(plate)},"64,70588235",18,5624,"27,27272727",12,17557
28283,elkhound,NN,2,"0,2,0",{(elk)}{(hound)},100,2,1404,80,6,8037
28284,elkhounds,NN,2,"0,2,0",{(elk)}{(hound)},100,2,1404,80,6,8037
28546,ENDOSPERM,NN,2,"0,2,0",(endo){(sperm)},0,7,1392,100,2,5444
28549,endpaper,NN,2,"0,2,0",{(end)}{(paper)},"33,33333333",13,328521,"31,25",17,130502
